employee_id,hire_date,department,role,salary_usd,age,gender,office,education,years_experience,performance_score,satisfaction_score,is_active
EMP-1141,2017-11-15,Legal,Associate,114400,53,Male,New York,Bachelor,30,4.8,7.3,True
EMP-1142,2018-08-15,Finance,Analyst,90500,48,Female,New York,Bachelor,14,3.8,7.9,True
EMP-1143,2022-01-28,HR,HR Manager,75800,49,Female,Berlin,PhD,1,4.1,4.1,True
EMP-1144,2021-04-03,HR,Recruiter,78600,41,Female,London,Bachelor,3,2.8,9.6,True
EMP-1145,2018-06-23,Operations,Ops Manager,75500,28,Male,New York,PhD,0,1.5,3.6,True
EMP-1146,2015-05-02,Product,Product Analyst,117800,38,Non-binary,London,High School,8,1.1,9.6,True
EMP-1147,2022-11-11,Sales,Account Executive,108900,23,Non-binary,Sydney,PhD,1,4.8,8.1,True
EMP-1148,2021-01-26,Finance,CFO,117000,26,Non-binary,London,Bachelor,3,2.8,2.5,True
EMP-1149,2016-07-01,Operations,COO,78100,55,Male,New York,Bachelor,32,1.5,10.0,False
EMP-1150,2022-03-03,HR,HR Manager,100400,44,Non-binary,New York,High School,2,1.1,4.6,True
EMP-1151,2022-10-13,Product,VP of Product,156900,32,Non-binary,Toronto,High School,0,1.2,8.4,True
EMP-1152,2023-05-28,Legal,Associate,103700,36,Female,Remote,High School,14,3.8,3.4,True
EMP-1153,2016-04-03,Engineering,Junior Dev,109500,26,Non-binary,London,Bachelor,5,4.4,4.4,False
EMP-1154,2015-02-20,HR,HR Manager,102100,36,Non-binary,Toronto,Master,8,1.4,8.2,False
EMP-1155,2015-04-29,Legal,Paralegal,93700,50,Male,Berlin,Bachelor,25,2.9,1.1,True
EMP-1156,2016-04-13,Sales,Sales Manager,100500,38,Male,Sydney,PhD,16,4.0,4.0,True
EMP-1157,2021-11-15,Marketing,CMO,136400,40,Female,Sydney,Bachelor,2,2.8,8.3,True
EMP-1158,2022-12-04,Sales,VP of Sales,138000,51,Non-binary,Berlin,Bachelor,3,3.2,7.6,True
EMP-1159,2021-08-30,Legal,Senior Counsel,113700,25,Female,Toronto,Master,3,2.2,6.6,False
EMP-1160,2022-02-22,HR,HR Coordinator,66600,56,Non-binary,Remote,PhD,23,3.7,6.9,True
EMP-1161,2015-05-25,Sales,Account Executive,109900,36,Non-binary,London,Master,11,3.0,5.1,True
EMP-1162,2017-08-08,Sales,SDR,76100,43,Male,Toronto,Bachelor,7,2.2,4.3,True
EMP-1163,2023-07-24,Finance,Accountant,98300,32,Female,London,High School,11,3.0,1.1,True
EMP-1164,2023-05-31,Operations,COO,97400,39,Female,Toronto,High School,14,4.1,7.6,True
EMP-1165,2021-11-03,HR,Recruiter,86600,43,Non-binary,Remote,Bachelor,4,2.4,3.4,True
EMP-1166,2017-09-03,Sales,SDR,72700,42,Non-binary,Sydney,Bachelor,0,2.3,7.0,True
EMP-1167,2022-02-06,Engineering,Senior Dev,133800,34,Male,London,Bachelor,4,4.8,6.1,True
EMP-1168,2020-04-09,Operations,COO,91700,29,Male,New York,Master,1,2.8,5.6,False
EMP-1169,2022-01-28,Product,VP of Product,167100,49,Male,Sydney,Master,14,2.2,8.8,True
EMP-1170,2015-05-16,Engineering,Junior Dev,88300,39,Non-binary,Sydney,Bachelor,3,4.9,3.9,True
EMP-1171,2015-11-12,Marketing,Content Writer,72300,25,Male,Sydney,High School,1,2.0,7.1,True
EMP-1172,2016-05-21,Marketing,Marketing Manager,103400,24,Female,New York,Bachelor,2,3.5,3.1,False
EMP-1173,2021-01-04,Marketing,Marketing Manager,118700,43,Non-binary,Berlin,PhD,16,1.3,9.5,False
EMP-1174,2023-08-12,Finance,Finance Manager,113800,45,Female,Remote,High School,7,3.9,9.2,True
EMP-1175,2023-08-18,Finance,Analyst,83800,29,Female,Sydney,Master,5,2.8,9.6,True
EMP-1176,2017-05-29,Engineering,Junior Dev,86400,57,Male,Remote,Bachelor,20,1.0,2.4,True
EMP-1177,2017-12-31,Operations,Ops Manager,67500,32,Male,Berlin,PhD,1,3.8,8.9,True
EMP-1178,2022-05-13,Product,Senior PM,174600,26,Male,Remote,Bachelor,0,4.7,7.5,True
EMP-1179,2019-06-11,HR,HR Director,83600,33,Female,New York,Master,9,4.9,5.9,True
EMP-1180,2017-03-25,Marketing,SEO Specialist,98400,28,Male,Remote,Master,6,1.1,8.8,True
EMP-1181,2016-09-15,Legal,Associate,121000,54,Non-binary,New York,PhD,27,4.8,4.6,True
EMP-1182,2016-06-21,Engineering,Senior Dev,128800,56,Female,Toronto,Bachelor,5,3.5,7.0,True
EMP-1183,2023-09-10,Finance,Accountant,83700,32,Male,Toronto,PhD,2,1.6,9.4,True
EMP-1184,2020-03-08,HR,HR Director,119700,58,Female,New York,PhD,17,3.9,5.2,True
EMP-1185,2016-04-25,Product,Senior PM,174400,33,Non-binary,London,High School,11,4.3,7.4,True
EMP-1186,2023-07-28,Sales,SDR,66800,36,Non-binary,Berlin,PhD,10,2.5,9.4,True
EMP-1187,2020-09-28,HR,Recruiter,73900,38,Non-binary,Sydney,Master,4,3.9,4.2,True
EMP-1188,2017-08-15,Marketing,SEO Specialist,103600,42,Non-binary,Toronto,High School,2,2.7,3.0,True
EMP-1189,2016-08-22,Finance,CFO,128300,35,Non-binary,Berlin,Master,5,1.1,5.6,False
EMP-1190,2021-02-16,Product,Product Analyst,124800,24,Male,Toronto,Master,3,3.0,3.4,True
EMP-1191,2015-03-21,HR,HR Manager,88300,49,Non-binary,London,High School,20,1.3,1.5,False
EMP-1192,2019-11-21,Marketing,SEO Specialist,89400,52,Female,London,High School,22,3.2,4.8,True
EMP-1193,2018-04-08,Engineering,Engineering Manager,203400,33,Male,Sydney,Master,8,4.3,7.1,True
EMP-1194,2015-08-03,Marketing,CMO,136900,53,Female,Remote,PhD,17,2.6,4.6,True
EMP-1195,2017-11-29,Finance,Accountant,83000,41,Female,New York,Master,16,1.6,3.4,True
EMP-1196,2017-11-07,Product,Senior PM,139000,46,Non-binary,London,Bachelor,18,4.4,9.6,True
EMP-1197,2019-10-21,Sales,VP of Sales,113800,40,Female,Sydney,High School,8,1.1,2.0,True
EMP-1198,2023-12-21,Sales,Sales Manager,96100,32,Non-binary,Sydney,PhD,3,4.5,7.6,True
EMP-1199,2020-11-19,Engineering,Engineering Manager,165300,51,Female,Sydney,Master,24,3.3,1.6,False
EMP-1200,2023-01-24,Sales,VP of Sales,111100,49,Non-binary,Berlin,Bachelor,11,3.9,1.3,True
EMP-1201,2015-10-31,HR,Recruiter,81500,34,Male,Remote,High School,3,1.2,5.7,True
EMP-1202,2021-09-10,Sales,SDR,68000,25,Male,Sydney,High School,0,1.1,2.4,True
EMP-1203,2021-10-24,Legal,Paralegal,88100,34,Male,New York,Master,2,1.6,6.9,True
EMP-1204,2015-03-23,HR,HR Manager,104800,31,Non-binary,Remote,High School,10,4.1,7.7,True
EMP-1205,2021-02-15,Legal,General Counsel,169600,26,Non-binary,Berlin,Bachelor,2,1.1,6.2,True
EMP-1206,2020-04-26,Marketing,Content Writer,79100,51,Male,London,High School,14,3.7,1.5,True
EMP-1207,2022-07-22,Sales,Sales Manager,121500,40,Male,London,Bachelor,3,1.7,5.5,True
EMP-1208,2015-02-08,Finance,Accountant,87400,28,Male,Sydney,PhD,6,3.3,5.2,True
EMP-1209,2021-06-07,HR,Recruiter,61900,47,Non-binary,Toronto,Master,15,4.0,1.5,True
EMP-1210,2019-04-23,Engineering,Senior Dev,106000,34,Female,London,Bachelor,10,2.2,3.7,True
EMP-1211,2020-04-14,Operations,COO,105900,56,Non-binary,London,PhD,6,4.1,1.4,True
EMP-1212,2017-01-08,HR,HR Director,112200,25,Male,Remote,PhD,2,2.3,9.2,True
EMP-1213,2021-06-13,Marketing,Content Writer,80000,43,Female,Berlin,PhD,12,3.5,9.8,True
EMP-1214,2018-05-08,Legal,Senior Counsel,150000,36,Non-binary,Berlin,Master,5,3.1,4.6,True
EMP-1215,2020-01-11,Marketing,SEO Specialist,85000,24,Female,Berlin,PhD,3,3.7,9.3,True
EMP-1216,2020-11-28,Sales,Account Executive,106500,58,Female,Remote,High School,27,4.3,7.0,True
EMP-1217,2017-02-20,Engineering,Staff Engineer,157700,39,Non-binary,London,PhD,17,1.5,7.0,True
EMP-1218,2016-06-27,Engineering,Lead Engineer,121600,41,Male,Berlin,Master,15,3.5,7.8,False
EMP-1219,2021-03-12,Product,Product Manager,133500,40,Male,Sydney,Master,19,2.5,3.1,True
EMP-1220,2021-06-12,Engineering,Engineering Manager,190400,38,Non-binary,Remote,High School,8,3.5,5.7,False
EMP-1221,2021-02-03,Legal,Paralegal,111900,51,Non-binary,New York,PhD,19,2.5,2.7,True
EMP-1222,2020-06-10,HR,HR Director,93100,25,Male,New York,PhD,1,2.2,8.6,False
EMP-1223,2016-08-03,HR,Recruiter,77900,50,Male,Toronto,Bachelor,19,1.1,1.0,True
EMP-1224,2015-03-10,HR,HR Coordinator,74700,54,Male,New York,High School,11,2.3,1.2,False
EMP-1225,2019-02-02,Finance,Accountant,114500,34,Male,New York,Bachelor,9,2.3,4.6,True
EMP-1226,2023-04-12,Engineering,Lead Engineer,146800,34,Non-binary,Toronto,PhD,1,3.9,6.0,True
EMP-1227,2022-12-05,Marketing,CMO,139000,50,Male,Sydney,High School,24,4.2,6.8,True
EMP-1228,2017-11-11,Legal,Paralegal,99400,31,Male,Sydney,Bachelor,0,4.0,4.8,True
EMP-1229,2019-08-23,Operations,COO,88800,32,Non-binary,Sydney,High School,6,1.8,8.1,True
EMP-1230,2015-04-15,Operations,COO,111500,40,Female,Remote,Master,1,2.5,8.4,True
EMP-1231,2020-12-28,Product,VP of Product,179600,43,Non-binary,Sydney,PhD,6,1.2,2.5,True
EMP-1232,2021-03-19,Sales,VP of Sales,119500,26,Male,Sydney,Bachelor,5,5.0,6.5,False
EMP-1233,2017-08-11,HR,Recruiter,85200,58,Male,Toronto,Master,15,1.9,9.8,True
EMP-1234,2022-01-04,Engineering,Lead Engineer,153800,39,Male,Berlin,PhD,0,2.2,8.2,False
EMP-1235,2016-07-29,Sales,VP of Sales,146800,47,Male,New York,PhD,7,1.5,3.9,True
EMP-1236,2022-05-17,Finance,CFO,121200,54,Male,Sydney,Master,1,1.1,9.0,True
EMP-1237,2022-02-14,Sales,Account Executive,111100,58,Male,Berlin,High School,29,2.3,9.8,True
EMP-1238,2018-11-12,Engineering,Staff Engineer,164100,41,Male,Toronto,High School,1,3.5,8.7,True
EMP-1239,2018-08-08,Sales,Account Executive,93600,32,Female,New York,Master,0,4.8,7.7,True
EMP-1240,2015-04-10,Engineering,Junior Dev,96000,37,Female,Berlin,PhD,1,3.8,9.7,True
EMP-1241,2022-10-10,Sales,SDR,76300,57,Male,London,High School,34,4.3,6.5,True
EMP-1242,2019-03-11,Product,Product Manager,116300,39,Non-binary,New York,Master,10,4.5,7.9,True
EMP-1243,2022-08-09,Operations,Ops Analyst,81000,52,Non-binary,Remote,Bachelor,25,3.6,8.4,True
EMP-1244,2016-06-01,Marketing,SEO Specialist,94500,52,Male,Toronto,PhD,2,3.4,5.8,True
EMP-1245,2017-07-24,Sales,VP of Sales,142800,27,Male,Remote,Bachelor,3,3.1,9.5,True
EMP-1246,2015-02-22,Sales,SDR,73000,43,Female,Berlin,PhD,14,2.2,7.0,True
EMP-1247,2017-02-18,Marketing,Marketing Manager,96100,28,Non-binary,Berlin,Master,7,1.1,5.8,True
EMP-1248,2022-11-27,HR,HR Director,107900,36,Female,Toronto,PhD,1,3.8,3.3,True
EMP-1249,2023-10-24,Engineering,Junior Dev,97700,35,Non-binary,London,PhD,5,4.4,4.4,True
EMP-1250,2021-11-19,Engineering,Junior Dev,90000,37,Female,New York,Master,6,1.9,7.3,False
EMP-1251,2020-01-10,Product,Senior PM,152100,41,Female,Toronto,High School,16,2.9,6.2,True
EMP-1252,2022-07-11,Marketing,SEO Specialist,78900,32,Male,Remote,Bachelor,9,1.3,7.0,True
EMP-1253,2016-12-15,Operations,Ops Manager,68500,33,Female,Toronto,Bachelor,11,3.5,7.2,True
EMP-1254,2022-10-24,Finance,Accountant,94600,42,Female,Remote,PhD,19,1.6,2.4,True
EMP-1255,2018-02-10,Engineering,Lead Engineer,119400,34,Non-binary,New York,Bachelor,9,2.6,1.9,True
EMP-1256,2015-04-22,Product,Product Manager,119200,36,Female,London,PhD,14,4.6,2.7,False
EMP-1257,2023-03-28,Finance,CFO,127700,30,Female,Berlin,High School,0,4.1,4.1,True
EMP-1258,2021-12-01,Sales,SDR,68400,27,Non-binary,Sydney,PhD,2,3.5,3.4,True
EMP-1259,2023-03-12,Finance,Accountant,105300,53,Non-binary,Sydney,PhD,24,1.1,4.5,False
EMP-1260,2015-05-16,Finance,Finance Manager,122300,52,Non-binary,Toronto,Bachelor,13,1.7,8.2,True
EMP-1261,2015-07-29,HR,Recruiter,69500,39,Male,Remote,High School,18,1.0,4.8,True
EMP-1262,2021-01-25,Operations,COO,82500,49,Male,Remote,Bachelor,14,2.7,4.6,False
EMP-1263,2019-08-12,HR,HR Coordinator,53700,58,Female,New York,Master,11,1.7,7.1,True
EMP-1264,2016-06-19,Product,Senior PM,136200,30,Female,Berlin,Master,9,4.2,2.3,True
EMP-1265,2018-08-20,Operations,Ops Manager,95300,30,Non-binary,Toronto,High School,5,1.2,3.2,True
EMP-1266,2015-07-03,Operations,COO,88900,41,Male,London,Master,1,4.3,8.9,True
EMP-1267,2023-10-29,Marketing,Content Writer,77700,44,Female,Toronto,High School,7,3.9,9.5,False
EMP-1268,2021-09-08,HR,HR Manager,82900,44,Female,Sydney,High School,4,1.3,8.1,True
EMP-1269,2021-01-18,Legal,Associate,106500,40,Female,Sydney,Bachelor,15,4.4,5.9,True
EMP-1270,2021-06-10,Operations,Ops Manager,78500,33,Male,Berlin,Bachelor,4,1.6,3.9,False
EMP-1271,2023-03-03,Engineering,Lead Engineer,137800,44,Male,New York,Bachelor,11,3.9,9.6,True
EMP-1272,2022-03-09,Legal,Associate,123800,41,Male,Toronto,PhD,7,1.6,6.0,True
EMP-1273,2015-09-10,Product,VP of Product,141200,29,Male,London,PhD,5,3.0,6.0,True
EMP-1274,2023-09-12,Finance,Analyst,96200,50,Female,Remote,PhD,25,3.1,6.3,True
EMP-1275,2023-05-30,HR,HR Coordinator,52000,25,Female,London,High School,2,4.5,6.8,False
EMP-1276,2022-06-27,Engineering,Lead Engineer,121900,57,Male,Toronto,Master,35,1.3,9.0,True
EMP-1277,2019-05-05,Finance,Accountant,113200,49,Male,Remote,Master,18,2.6,1.2,True
EMP-1278,2019-09-22,Finance,Finance Manager,100600,38,Male,Toronto,Master,8,2.6,9.0,True
EMP-1279,2015-05-31,Legal,Senior Counsel,111700,41,Non-binary,New York,High School,3,3.5,3.6,True
EMP-1280,2015-04-22,Legal,Senior Counsel,108700,56,Non-binary,Sydney,Master,28,3.4,2.9,True
EMP-1281,2017-04-29,Finance,CFO,130200,58,Non-binary,Berlin,High School,26,1.8,3.6,True
EMP-1282,2019-07-16,Marketing,Content Writer,67700,42,Male,Berlin,Master,13,2.0,1.8,True
EMP-1283,2017-11-14,Product,VP of Product,197800,49,Female,London,PhD,21,3.3,2.7,True
EMP-1284,2018-07-30,HR,HR Director,94600,25,Male,New York,PhD,3,1.6,4.6,False
EMP-1285,2015-07-30,Legal,Associate,131400,22,Male,Remote,Master,0,1.1,3.0,True
EMP-1286,2022-10-23,Marketing,SEO Specialist,94500,30,Male,London,Master,5,4.7,8.8,False
EMP-1287,2022-03-21,Legal,Senior Counsel,142400,29,Non-binary,Berlin,Master,5,3.9,3.8,True
EMP-1288,2016-07-28,HR,HR Coordinator,69500,29,Non-binary,Berlin,Bachelor,0,1.1,3.0,True
EMP-1289,2021-12-18,Product,Senior PM,166600,22,Male,Remote,Master,1,2.5,8.8,True
EMP-1290,2016-08-11,Marketing,SEO Specialist,86700,27,Non-binary,Sydney,High School,1,1.9,2.6,True
EMP-1291,2015-02-18,Product,VP of Product,162300,31,Non-binary,New York,Bachelor,6,1.6,4.0,True
EMP-1292,2017-07-10,Marketing,CMO,115900,27,Non-binary,Remote,PhD,0,3.8,6.9,True
EMP-1293,2016-08-18,Marketing,SEO Specialist,74400,47,Non-binary,Sydney,Master,13,1.4,1.7,True
EMP-1294,2021-02-28,Operations,Ops Manager,90600,47,Non-binary,Remote,Bachelor,20,2.7,2.5,False
EMP-1295,2021-08-31,Engineering,Staff Engineer,141700,34,Non-binary,Sydney,PhD,1,1.4,5.6,True
EMP-1296,2019-04-26,Operations,Ops Analyst,59000,39,Non-binary,New York,Bachelor,9,4.4,6.6,True
EMP-1297,2021-07-19,Sales,Account Executive,90900,27,Male,New York,PhD,0,2.6,9.4,False
EMP-1298,2017-10-24,Legal,Paralegal,85800,50,Non-binary,Berlin,High School,12,4.7,4.5,True
EMP-1299,2019-12-15,Operations,Ops Analyst,55900,39,Female,Sydney,PhD,16,1.1,8.4,True
EMP-1300,2016-08-20,HR,HR Coordinator,73700,36,Male,New York,PhD,10,4.8,3.1,True
EMP-1301,2015-02-18,Legal,General Counsel,148400,34,Female,Berlin,Bachelor,7,2.4,4.5,True
EMP-1302,2017-03-11,Sales,Account Executive,110700,27,Female,Sydney,Bachelor,2,2.8,7.5,True
EMP-1303,2021-06-06,Product,VP of Product,141100,47,Female,London,PhD,20,3.6,7.1,True
EMP-1304,2020-06-20,Operations,Ops Analyst,57300,39,Male,London,PhD,13,1.4,4.2,True
EMP-1305,2016-01-28,Operations,COO,85400,55,Female,London,PhD,24,2.0,3.3,True
EMP-1306,2016-10-12,HR,HR Coordinator,61100,36,Male,New York,Master,4,2.3,9.6,True
EMP-1307,2017-08-09,Legal,Associate,116900,57,Female,Sydney,Master,14,2.5,7.3,True
EMP-1308,2017-08-11,Marketing,Marketing Manager,99200,52,Non-binary,Remote,High School,0,1.1,8.3,True
EMP-1309,2021-08-19,Engineering,Lead Engineer,125100,29,Male,Remote,Master,8,1.7,7.2,True
EMP-1310,2022-10-21,Product,VP of Product,172000,56,Female,Sydney,Master,2,1.4,9.9,True
EMP-1311,2018-12-11,Legal,General Counsel,133900,41,Female,Berlin,Bachelor,14,4.6,8.6,True
EMP-1312,2016-12-02,Marketing,CMO,99100,47,Non-binary,New York,PhD,2,1.8,1.8,True
EMP-1313,2018-08-05,Operations,Ops Analyst,59300,53,Male,London,PhD,9,1.2,2.7,True
EMP-1314,2020-02-14,Engineering,Junior Dev,85100,56,Female,Toronto,High School,20,1.3,2.3,True
EMP-1315,2019-11-11,Finance,Accountant,100200,49,Female,Berlin,PhD,22,1.6,1.2,False
EMP-1316,2016-04-06,Marketing,CMO,99500,35,Non-binary,New York,High School,8,2.3,8.2,True
EMP-1317,2020-01-08,HR,HR Director,115800,34,Non-binary,Sydney,PhD,1,3.6,3.7,True
EMP-1318,2020-03-04,Product,Product Manager,147800,34,Male,Toronto,PhD,4,2.5,6.6,True
EMP-1319,2017-05-20,Sales,Sales Manager,114600,40,Non-binary,London,Master,12,4.5,5.4,True
EMP-1320,2016-01-08,Finance,Analyst,83200,40,Male,Toronto,PhD,8,2.8,3.8,False
EMP-1321,2019-04-08,HR,Recruiter,85000,23,Non-binary,London,PhD,0,2.0,3.2,True
EMP-1322,2015-01-29,Product,Product Manager,134800,51,Female,Sydney,High School,12,1.3,8.0,True
EMP-1323,2018-08-05,Marketing,Marketing Manager,116100,41,Male,New York,High School,6,4.3,1.5,True
EMP-1324,2021-09-11,Finance,Finance Manager,96500,53,Female,Berlin,Master,32,4.5,7.4,True
EMP-1325,2019-05-07,Sales,Sales Manager,109900,55,Female,Remote,High School,31,1.8,6.3,True
EMP-1326,2017-10-11,Finance,Analyst,83900,33,Male,Toronto,High School,10,2.2,4.3,True
EMP-1327,2018-09-08,Operations,Ops Analyst,79200,41,Female,London,Master,7,3.7,3.2,True
EMP-1328,2017-12-20,Product,Product Analyst,95700,55,Male,London,Bachelor,14,1.1,8.0,True
EMP-1329,2016-08-02,Sales,Account Executive,101100,52,Non-binary,Berlin,High School,16,2.5,4.9,True
EMP-1330,2022-09-10,Finance,Finance Manager,120400,30,Female,Toronto,PhD,5,1.4,6.3,True
EMP-1331,2023-07-01,Legal,General Counsel,146500,44,Female,Berlin,High School,23,4.2,7.7,True
EMP-1332,2020-02-06,Engineering,Lead Engineer,120200,42,Non-binary,Berlin,Master,11,1.4,2.4,True
EMP-1333,2017-10-26,Engineering,Staff Engineer,154600,39,Female,Sydney,High School,9,3.9,4.9,True
EMP-1334,2018-12-09,Legal,General Counsel,166500,23,Male,Sydney,High School,1,1.7,9.3,True
EMP-1335,2022-02-08,Marketing,SEO Specialist,87600,50,Non-binary,Sydney,High School,27,3.5,4.8,True
EMP-1336,2023-12-24,Operations,Ops Analyst,69500,35,Non-binary,Sydney,PhD,13,2.8,7.3,False
EMP-1337,2016-10-14,Product,Senior PM,165000,39,Non-binary,Remote,Master,1,2.7,3.6,True
EMP-1338,2016-07-14,Marketing,Content Writer,79600,58,Non-binary,Remote,Master,3,2.6,2.6,True
EMP-1339,2022-11-14,Sales,Sales Manager,102200,32,Non-binary,Remote,High School,10,1.1,8.7,True
EMP-1340,2021-02-14,HR,HR Manager,77400,28,Female,Sydney,Bachelor,1,3.9,8.1,False
EMP-1341,2019-07-18,Engineering,Junior Dev,113800,56,Female,Berlin,Master,30,3.3,3.5,False
EMP-1342,2016-12-08,Operations,Ops Manager,84200,53,Female,Sydney,High School,32,1.1,6.4,True
EMP-1343,2020-04-29,Legal,Paralegal,102400,32,Non-binary,London,High School,6,4.5,8.1,True
EMP-1344,2020-11-09,Marketing,Marketing Manager,92700,30,Female,Remote,PhD,5,2.0,8.0,True
EMP-1345,2015-07-20,HR,Recruiter,68900,39,Female,Toronto,Master,9,1.3,3.1,True
EMP-1346,2022-02-17,HR,HR Director,89100,22,Male,London,PhD,1,1.1,8.0,True
EMP-1347,2022-05-02,Operations,COO,97000,22,Male,Remote,Master,1,3.4,7.3,True
EMP-1348,2017-05-14,Finance,CFO,113300,34,Male,Berlin,High School,7,1.8,5.0,True
EMP-1349,2015-12-06,Marketing,CMO,133200,45,Non-binary,Toronto,High School,7,2.4,7.6,True
EMP-1350,2016-01-30,Engineering,Staff Engineer,153800,46,Non-binary,Toronto,High School,5,1.9,2.2,True
EMP-1351,2023-04-15,Engineering,Staff Engineer,132800,31,Male,Toronto,Bachelor,9,4.5,1.0,False
EMP-1352,2023-06-25,Engineering,Senior Dev,126100,26,Female,Toronto,Master,2,1.5,8.6,True
EMP-1353,2021-06-02,Legal,General Counsel,168700,22,Non-binary,London,Master,1,2.3,2.0,True
EMP-1354,2022-03-13,Finance,Accountant,106300,32,Female,New York,Bachelor,3,3.4,9.7,True
EMP-1355,2021-03-15,Marketing,Content Writer,87300,51,Male,London,High School,7,1.7,5.9,True
EMP-1356,2018-08-10,Engineering,Engineering Manager,164500,36,Male,Berlin,Master,5,1.9,4.1,True
EMP-1357,2020-11-24,Operations,Ops Manager,77400,58,Male,Berlin,PhD,20,4.8,7.5,True
EMP-1358,2023-07-13,Engineering,Engineering Manager,182500,41,Non-binary,New York,High School,13,1.3,2.0,True
EMP-1359,2019-10-06,Legal,Paralegal,78700,29,Male,London,PhD,0,2.2,1.5,True
EMP-1360,2016-01-07,Sales,Sales Manager,99500,25,Non-binary,Berlin,Master,2,4.7,3.2,True
EMP-1361,2017-07-19,Finance,Finance Manager,104800,40,Non-binary,Toronto,High School,2,1.0,8.6,True
EMP-1362,2016-11-03,Finance,Accountant,109800,42,Non-binary,New York,Bachelor,18,3.8,8.7,True
EMP-1363,2023-02-22,HR,HR Director,93000,34,Male,London,PhD,12,3.9,3.3,True
EMP-1364,2015-03-23,Product,Product Analyst,116800,30,Male,Remote,PhD,7,1.9,10.0,True
EMP-1365,2021-11-11,Operations,Ops Analyst,62600,45,Male,Remote,Master,9,2.7,7.6,True
EMP-1366,2022-09-11,HR,Recruiter,89700,25,Female,Berlin,Bachelor,3,2.3,9.4,True
EMP-1367,2021-09-30,Legal,General Counsel,175200,38,Female,Remote,Bachelor,3,2.4,3.4,True
EMP-1368,2018-07-31,Legal,Senior Counsel,117200,42,Non-binary,New York,High School,18,3.4,2.4,True
EMP-1369,2023-11-17,Operations,Ops Analyst,81000,35,Female,Berlin,Bachelor,6,3.5,6.0,False
EMP-1370,2016-03-04,Product,Product Analyst,122500,51,Male,New York,High School,14,3.9,5.2,False
EMP-1371,2017-01-16,Finance,Accountant,87000,23,Male,Remote,Master,0,4.1,8.9,True
EMP-1372,2017-03-11,Operations,COO,103800,52,Non-binary,London,Bachelor,20,1.3,6.5,True
EMP-1373,2018-02-07,Sales,VP of Sales,140500,30,Female,Berlin,PhD,1,3.4,5.4,True
EMP-1374,2018-03-14,Engineering,Senior Dev,115800,42,Male,London,High School,8,4.2,9.4,True
EMP-1375,2019-03-03,Marketing,Marketing Manager,90200,41,Non-binary,Remote,Master,19,3.0,6.6,True
EMP-1376,2018-06-07,Operations,Ops Analyst,66700,26,Non-binary,Sydney,PhD,0,2.1,1.7,True
EMP-1377,2015-10-31,Marketing,CMO,95400,45,Female,New York,High School,23,3.5,1.3,True
EMP-1378,2017-01-30,Operations,Ops Analyst,66600,58,Male,Sydney,High School,34,3.7,8.1,True
EMP-1379,2020-09-10,Marketing,Content Writer,83000,36,Male,Sydney,High School,13,1.2,5.9,True
EMP-1380,2019-01-04,HR,Recruiter,79400,55,Female,Sydney,High School,22,3.7,4.9,True
EMP-1381,2023-07-28,Product,VP of Product,150800,53,Female,Toronto,High School,11,4.0,3.2,False
EMP-1382,2023-05-18,HR,HR Director,84000,44,Male,New York,PhD,17,2.7,6.8,True
EMP-1383,2017-07-28,Operations,Ops Manager,72300,25,Female,London,High School,0,3.5,4.5,True
EMP-1384,2018-11-02,Marketing,Content Writer,70400,22,Non-binary,Sydney,Bachelor,1,3.9,7.6,True
EMP-1385,2018-08-13,Sales,Account Executive,92400,46,Male,Remote,Bachelor,7,1.4,2.6,True
EMP-1386,2015-06-25,Finance,Accountant,86600,31,Female,London,High School,0,1.5,9.1,False
EMP-1387,2019-09-09,Marketing,Marketing Manager,103400,24,Male,New York,Bachelor,2,3.8,4.4,True
EMP-1388,2022-02-09,Operations,COO,106100,58,Non-binary,New York,Master,26,3.3,3.9,True
EMP-1389,2017-10-09,Sales,Account Executive,85900,48,Female,Sydney,Bachelor,15,3.8,2.6,False
EMP-1390,2023-07-09,Legal,General Counsel,146500,55,Male,London,High School,30,1.7,5.4,True
EMP-1391,2019-01-06,Legal,Associate,113400,46,Female,Sydney,Master,11,4.1,8.7,True
EMP-1392,2015-03-04,Operations,Ops Manager,76000,40,Male,Sydney,PhD,9,1.2,1.8,False
EMP-1393,2017-02-19,HR,Recruiter,64100,46,Male,New York,Bachelor,14,3.9,6.4,True
EMP-1394,2019-09-09,Legal,General Counsel,160600,55,Non-binary,New York,Bachelor,1,5.0,1.9,False
EMP-1395,2015-10-10,Operations,COO,86900,38,Male,Berlin,Bachelor,12,3.7,1.9,True
EMP-1396,2023-12-11,Product,VP of Product,161900,30,Male,London,High School,4,4.6,4.2,True
EMP-1397,2017-02-28,Legal,General Counsel,151200,42,Female,Remote,Bachelor,5,2.4,2.1,True
EMP-1398,2018-09-13,Engineering,Lead Engineer,121100,50,Male,Sydney,Master,7,4.8,9.3,False
EMP-1399,2023-11-07,Legal,General Counsel,179300,43,Female,Remote,Master,11,3.5,3.1,True
EMP-1400,2023-12-03,Operations,COO,107300,45,Female,Berlin,High School,16,3.7,2.7,True
EMP-1401,2022-10-16,Product,Senior PM,152000,31,Female,Berlin,High School,7,1.9,3.8,True
EMP-1402,2023-01-22,Legal,General Counsel,162400,58,Female,London,Bachelor,31,4.2,3.9,True
